action,blood glucose,reward,meal,risk,info
0,121.97671,7.118388186777104,0.0,1.0000374838847967,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 234.64006259,
       319.38906683,   8.53275399,  92.77481287, 125.87039054,
       107.30226673,   5.90253994, 231.35669813, 191.43487663,
       245.1162045 ]), 'time': datetime.datetime(2025, 1, 1, 7, 18), 'bg': 133.29230581454217, 'lbgi': 0.0, 'hbgi': 1.0000374838847967, 'risk': 1.0000374838847967}"
0,119.73833,7.092110797419705,0.0,0.9070599890020459,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 231.53926693,
       313.07451153,   8.59333489,  98.59750941, 127.83591059,
       107.67559789,   5.96272989, 217.81817765, 195.77830186,
       243.07903857]), 'time': datetime.datetime(2025, 1, 1, 7, 21), 'bg': 132.22262854522464, 'lbgi': 0.0, 'hbgi': 0.9070599890020459, 'risk': 0.9070599890020459}"
0,117.7016,7.063992735789214,0.0,0.8092385134778296,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 228.23153191,
       306.58049533,   8.62598835, 103.57565516, 129.78740474,
       108.07921476,   5.9991446 , 205.07190368, 199.31786373,
       240.84364738]), 'time': datetime.datetime(2025, 1, 1, 7, 24), 'bg': 131.0460531535166, 'lbgi': 0.0, 'hbgi': 0.8092385134778296, 'risk': 0.8092385134778296}"
0,115.97573,7.038679100728537,0.0,0.7079698643891792,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 224.75199305,
       299.98187396,   8.63552304, 107.74036352, 131.71221725,
       108.51214587,   6.01686937, 193.07151558, 202.12003973,
       238.41157728]), 'time': datetime.datetime(2025, 1, 1, 7, 27), 'bg': 129.7622691411003, 'lbgi': 0.0, 'hbgi': 0.7079698643891792, 'risk': 0.7079698643891792}"
0,114.60171,7.020141625474747,0.0,0.6050974174644936,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 221.13739258,
       293.34361935,   8.62518722, 111.13624685, 133.59994473,
       108.97321955,   6.01906193, 181.77336563, 204.24672993,
       235.79022594]), 'time': datetime.datetime(2025, 1, 1, 7, 30), 'bg': 128.3742628459536, 'lbgi': 0.0, 'hbgi': 0.6050974174644936, 'risk': 0.6050974174644936}"
0,113.51615,7.008991774624058,0.0,0.5028155205510786,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 217.42403067,
       286.72185776,   8.59739451, 113.81333551, 135.44180436,
       109.46110415,   6.0078771 , 171.13636029, 205.75554916,
       232.99193374]), 'time': datetime.datetime(2025, 1, 1, 7, 33), 'bg': 126.88787423387828, 'lbgi': 0.0, 'hbgi': 0.5028155205510786, 'risk': 0.5028155205510786}"
0,112.634315,7.002675383647958,0.0,0.4035593458567266,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 213.64649328,
       280.1648984 ,   8.55408678, 115.82301312, 137.23028065,
       109.9743383 ,   5.98492992, 161.12181073, 206.7001012 ,
       230.03295407]), 'time': datetime.datetime(2025, 1, 1, 7, 36), 'bg': 125.3112536072421, 'lbgi': 0.0, 'hbgi': 0.4035593458567266, 'risk': 0.4035593458567266}"
0,111.873375,6.998893260899784,0.0,0.30989202674020494,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 209.83691455,
       273.71413202,   8.49691771, 117.21597117, 138.95891277,
       110.51135545,   5.95152813, 151.69329212, 207.13023613,
       226.93243204]), 'time': datetime.datetime(2025, 1, 1, 7, 39), 'bg': 123.65430225562042, 'lbgi': 0.0, 'hbgi': 0.30989202674020494, 'risk': 0.30989202674020494}"
0,111.16352,6.996055884846184,0.0,0.22439684099780877,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 206.024594  ,
       267.40479144,   8.42734746, 118.04118827, 140.62215433,
       111.07050452,   5.90879013, 142.81651112, 207.09229176,
       223.71146429]), 'time': datetime.datetime(2025, 1, 1, 7, 42), 'bg': 121.92814579280738, 'lbgi': 0.0, 'hbgi': 0.22439684099780877, 'risk': 0.22439684099780877}"
0,110.50549,6.993786127730836,0.0,0.14957922461917278,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 202.23584337,
       261.26659987,   8.34669288, 118.34543546, 142.21527128,
       111.650068  ,   5.85770585, 134.45918118, 206.62932026,
       220.39227427]), 'time': datetime.datetime(2025, 1, 1, 7, 45), 'bg': 120.14466512342369, 'lbgi': 0.0, 'hbgi': 0.14957922461917278, 'risk': 0.14957922461917278}"
0,110.00491,6.9935976764792045,0.0,0.08778132179095212,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 198.4939797 ,
       255.32433559,   8.25615552, 118.17305612, 143.73426117,
       112.24827791,   5.79916927, 126.59090508, 205.7813007 ,
       216.99751481]), 'time': datetime.datetime(2025, 1, 1, 7, 48), 'bg': 118.31609499647082, 'lbgi': 0.0, 'hbgi': 0.08778132179095212, 'risk': 0.08778132179095212}"
0,109.79078,6.996813699474001,0.0,0.0411103714407688,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 194.81940977,
       249.59833614,   8.15683849, 117.56589215, 145.17578503,
       112.86333005,   5.73399659, 119.1830644 , 204.58533845,
       213.54969582]), 'time': datetime.datetime(2025, 1, 1, 7, 51), 'bg': 116.4546912328342, 'lbgi': 0.0, 'hbgi': 0.0411103714407688, 'risk': 0.0411103714407688}"
0,109.9919,7.003000298221462,0.0,0.011381301629154036,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 191.22977061,
       244.10495776,   8.04975753, 116.5632901 , 146.53710748,
       113.49339682,   5.66293734, 112.20871539, 203.07585228,
       210.07072837]), 'time': datetime.datetime(2025, 1, 1, 7, 54), 'bg': 114.57246282926215, 'lbgi': 0.0, 'hbgi': 0.011381301629154036, 'risk': 0.011381301629154036}"
0,110.71033,7.008789137617889,0.0,7.329912846948977e-05,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 187.74010301,
       238.85699997,   7.9358491 , 115.20215218, 147.81604281,
       114.13663859,   5.58668166, 105.64249101, 201.28474972,
       206.58157256]), 'time': datetime.datetime(2025, 1, 1, 7, 57), 'bg': 112.68096273628714, 'lbgi': 0.0, 'hbgi': 7.329912846948977e-05, 'risk': 7.329912846948977e-05}"
0,111.8893,7.008013218730265,0.0,0.008299732766956275,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 184.36304305,
       233.86410104,   7.81597672, 113.51701272, 149.01090577,
       114.79121404,   5.50586576,  99.46050864, 199.24159167,
       203.10197607]), 'time': datetime.datetime(2025, 1, 1, 8, 0), 'bg': 110.79113018118113, 'lbgi': 0.008299732766956275, 'hbgi': 0.0, 'risk': 0.008299732766956275}"
0,113.23393,6.999688421465436,0.0,0.036790559509506125,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 181.10902193,
       229.1331073 ,   7.6909365 , 111.54012944, 150.12046619,
       115.45528923,   5.42107617,  93.64028323, 196.9737466 ,
       199.65028997]), 'time': datetime.datetime(2025, 1, 1, 8, 3), 'bg': 108.91317732247157, 'lbgi': 0.036790559509506125, 'hbgi': 0.0, 'risk': 0.036790559509506125}"
0,114.39583,6.991876351939492,0.0,0.08588618122544639,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 177.9864673 ,
       224.66841758,   7.56146188, 109.30158291, 151.14390718,
       116.12704576,   5.3328535 ,  88.1606455 , 194.50653527,
       196.24334975]), 'time': datetime.datetime(2025, 1, 1, 8, 6), 'bg': 107.05651338803287, 'lbgi': 0.08588618122544639, 'hbgi': 0.0, 'risk': 0.08588618122544639}"
0,115.02575,6.992633513554479,0.0,0.1555416154815009,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 175.00200151,
       220.47230353,   7.42822798, 106.82938013, 152.08078645,
       116.80468802,   5.24169564,  83.00166496, 191.86336629,
       192.89641014]), 'time': datetime.datetime(2025, 1, 1, 8, 9), 'bg': 105.22970003073044, 'lbgi': 0.1555416154815009, 'hbgi': 0.0, 'risk': 0.1555416154815009}"
0,114.7736,7.003195429111192,0.0,0.2453397761226036,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 172.16063386,
       216.54520575,   7.29185571, 104.14955958, 152.93100039,
       117.48644952,   5.14806076,  78.1445774 , 189.06586326,
       189.62312407]), 'time': datetime.datetime(2025, 1, 1, 8, 12), 'bg': 103.44043229938421, 'lbgi': 0.2453397761226036, 'hbgi': 0.0, 'risk': 0.2453397761226036}"
0,113.28841,7.0120745573819185,0.0,0.35451261808110707,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 169.46594426,
       212.88600599,   7.15291539, 101.286296  , 153.69475099,
       118.1705985 ,   5.05237007,  73.57171666, 186.13398387,
       186.43555685]), 'time': datetime.datetime(2025, 1, 1, 8, 15), 'bg': 101.69554029404131, 'lbgi': 0.35451261808110707, 'hbgi': 0.0, 'risk': 0.35451261808110707}"
0,110.21835,6.986823791977655,0.0,0.481968880496148,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 166.92025703,
       209.49227564,   7.0119303 ,  98.26200349, 154.37251503,
       118.85544279,   4.95501033,  69.26645037, 183.08613159,
       183.34422821]), 'time': datetime.datetime(2025, 1, 1, 8, 18), 'bg': 100.0010072145966, 'lbgi': 0.481968880496148, 'hbgi': 0.0, 'risk': 0.481968880496148}"
0,105.21081,6.858419600016861,0.0,0.6263271607998461,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 164.5248037 ,
       206.36050078,   6.86937991,  95.09743622, 154.96501576,
       119.53933406,   4.85633622,  65.21311945, 179.93926028,
       180.35817566]), 'time': datetime.datetime(2025, 1, 1, 8, 21), 'bg': 98.36200010273858, 'lbgi': 0.6263271607998461, 'hbgi': 0.0, 'risk': 0.6263271607998461}"
0,97.912315,-11.55715582199159,0.0,0.7859530695833712,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 162.27987408,
       203.48628455,   6.72570287,  91.81178596, 155.47319657,
       120.22067136,   4.75667261,  61.39698117, 176.70897215,
       177.48503359]), 'time': datetime.datetime(2025, 1, 1, 8, 24), 'bg': 96.78291011261238, 'lbgi': 0.7859530695833712, 'hbgi': 0.0, 'risk': 0.7859530695833712}"
0,91.61782,-14.982380629695431,0.0,0.9589992520233857,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 160.1849554 ,
       200.86452757,   6.58129994,  88.42277612, 155.89819675,
       120.89790427,   4.65631657,  57.80415549, 173.40960961,
       174.73112355]), 'time': datetime.datetime(2025, 1, 1, 8, 27), 'bg': 95.26739962518155, 'lbgi': 0.9589992520233857, 'hbgi': 0.0, 'risk': 0.9589992520233857}"
0,90.71691,-14.785155710800794,0.0,1.1434471165169415,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 158.23885925,
       198.48958758,   6.43653653,  84.946752  , 156.24132908,
       121.56953539,   4.55553931,  54.42157461, 170.05434124,
       172.10155169]), 'time': datetime.datetime(2025, 1, 1, 8, 30), 'bg': 93.81845394772368, 'lbgi': 1.1434471165169415, 'hbgi': 0.0, 'risk': 1.1434471165169415}"
0,89.88871,-15.194926207756618,0.0,1.3371491844448602,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 156.43983666,
       196.35541927,   6.2917453 ,  81.39876701, 156.50405915,
       122.23412249,   4.45458804,  51.23693544, 166.65524234,
       169.60031013]), 'time': datetime.datetime(2025, 1, 1, 8, 33), 'bg': 92.43843571714966, 'lbgi': 1.3371491844448602, 'hbgi': 0.0, 'risk': 1.3371491844448602}"
0,89.203636,-15.518782276723545,0.0,1.5378710653666179,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 154.78568141,
       194.45569583,   6.14722839,  77.79266486, 156.68798634,
       122.89028014,   4.35368761,  48.23865484, 163.22337023,
       167.2303797 ]), 'time': datetime.datetime(2025, 1, 1, 8, 36), 'bg': 91.12914045815168, 'lbgi': 1.5378710653666179, 'hbgi': 0.0, 'risk': 1.5378710653666179}"
0,88.73155,-15.720227148074855,0.0,1.7433321672956095,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 153.27382221,
       192.78391344,   6.00325965,  74.14115771, 156.79482625,
       123.53668106,   4.25304215,  45.41582749, 159.76883495,
       164.99383171]), 'time': datetime.datetime(2025, 1, 1, 8, 39), 'bg': 89.89185203870538, 'lbgi': 1.7433321672956095, 'hbgi': 0.0, 'risk': 1.7433321672956095}"
0,88.541855,-15.764306159759029,0.0,1.9512443690938857,"{'sample_time': 3.0, 'patient_name': 'child#002', 'meal': 0.0, 'patient_state': array([  0.        ,   0.        ,   0.        , 151.90140407,
       191.33348023,   5.86008665,  70.45590018, 156.8263946 ,
       124.17205702,   4.1528365 ,  42.75818621, 156.3008652 ,
       162.89192716]), 'time': datetime.datetime(2025, 1, 1, 8, 42), 'bg': 88.72739702000595, 'lbgi': 1.9512443690938857, 'hbgi': 0.0, 'risk': 1.9512443690938857}"
